"","x"
"113","@GovMikeHuckabee @realDonaldTrump @POTUS What makes me sick is more @GOP are still supporting trump after mueller r… https://t.co/TgsLteaCMH"
"114","On this day in 1860 --Deputy US Marshal Leonard Armes was shot and killed near Topeka, Kansas, while attempting to… https://t.co/qkCuNbh9q6"
"115","@jumperforce Mine usually seems kinda fun (except when it predicted a 7-11 robbery) and unique (expect just now) https://t.co/Ra39XplcfY"
"116","A Luzerne County man who is now confined to a wheelchair was given a break due to his medical needs Thursday when h… https://t.co/FOnyVjBfJL"
"117","@Tea4gunsSC @cmcsweeney66 @merransmith Funny sort of robbery where they give the money back."
"118","@PastorDScott Attempted robbery: crime attempted murder: crime, attempted arson, kidnipping,child abduction.... cri… https://t.co/ghkPKv9pNb"
"119","The victim told police that the robber appeared from behind a bush and demanded money. https://t.co/47r5ws4g5q"
"120","@TheS_Squared Well, it WAS the biggest robbery since Brinks - as Groucho said in a telegram to Miss Garland ..."
"121","@SaraCarterDC @DebraMMason1 How can someone be guilty of obstruction of an illegal investigation? That's like takin… https://t.co/Z6W5hjJNgJ"
"122","My favorite mystery blog. Local unsolved crimes. The latest is the bank robbery in Jay! The author makes these stor… https://t.co/6CBE3yYhWN"
"123","Establishment hacks and useful idiots are using the #MuellerReport to proclaim an end to the #conspiracytheory that… https://t.co/tDQAHJjJSz"
"124","A second suspect has been charged in connection with Thursday's gas station robbery, police said Saturday. https://t.co/JL3ClFvO8P"
"125","A second suspect has been charged in connection with Thursday's gas station robbery, police said Saturday. https://t.co/zKdiyHlhcx"
"126","@Jassy_Mom It's similar to you taking a gun away from an armed robber then they charge you with obstructing the rob… https://t.co/KDKttzjbQ3"
"127","@SantiArdila_ @beINSPORTSUSA The robbery last year was abysmal. 
The guy literally only lost two games. Only 2 in a… https://t.co/dzg6K2te7E"
"128","That was a long night! We were under a tornado warning &amp; then the neighborhood got locked down until 2am for an arm… https://t.co/FTKBcBRKNk"
"129","Armed robbery committed Friday in Jacksonville https://t.co/ptGOX3RYRz"
"130","The Ottawa Police Service is asking for the public's help in identifying a robbery suspect, who entered a bank on W… https://t.co/DqjllkpdNL"
"131","Upstate police searching for bank robbery suspect, considered armed and dangerous https://t.co/QwX9vNClzr https://t.co/3I7DYdGLLL"
"132","Demarcus Harris’s attorney, Sarah Fightmaster, pleaded for a shorter sentence and asked if the sentences for the ro… https://t.co/Ry3NncazoO"
"133","An arrest citation says the man was arrested in Alabama the day after the Lexington bank robbery wearing the same c… https://t.co/V8johcZQAm"
"134","@elonmusk I might just do aa robbery to hear the music next time 😂"
"135","Ottawa Police searching for robbery suspect https://t.co/wCFtlpLkiV"
"136","Somali with a Machete Charged with Targeting Target in Robbery Spree https://t.co/LhfprEec8b via @refugeewatcher"
"137","Somali with a Machete Charged with Targeting Target in Robbery Spree https://t.co/Vyp8m0Bgrc via @refugeewatcher"
"138","Somali man goes on robbery spree in Welcoming Minnesota. Targets Target for thefts using a machete to scare off sto… https://t.co/E3j7mD41AD"
