"","x"
"233","@Proudgunlover IMO, unless you are a last line of defense against a horde of advancing zombies or angry democrats y… https://t.co/5DlQQafulG"
"234","@SenatorRomney @MittRomney I am sickened by a Senator who puts his EGO above his constituents. Where is your outrag… https://t.co/ecr64Q9mbv"
"235","Palace intrigue is not good for the Church nor is blaming homosexuality for sex abuse. Dishonest men have taken vow… https://t.co/HuDIesSLNU"
"236","@jonallendc @alivitali If only they were as concerned about under-reaching. Don’t want to be GOP-light and let this… https://t.co/KiUZnuiTC7"
"237","@no_silenced It's child abuse."
"238","More than disturbing.. sick and child abuse.. https://t.co/bh8F1LJIwO"
"239","@OkCallMeAL @bdl2536 @renato_mariotti @gtconway3d @Jim_Jordan needs a shower, he’s covered in Trump scum and… https://t.co/8qd29Rbttp"
"240","@laurakcurtis @AP When it’s a 9 year old in women’s clothing and makeup dancing for men for money, it’s a huge prob… https://t.co/5SJ7k6M8K7"
"241","How to spot financial abuse in a relationship: https://t.co/SoO8Cx1xJs https://t.co/yhRYQEkVtd"
"242","@therealcliffyb Plus if I remember correctly all versions of the work hint that he may have been the victim of child abuse."
"243","Not only madness - but she is an unfit parent...talk about child abuse!! https://t.co/gRJlSAuaL7"
