"","x"
"150","@4realcuzz @OffMuteRKelly @LucyMorninStar @rkelly We didn’t have goggles in the 90’s. Try again. Either way you’re… https://t.co/gqAiFScMQL"
"151","@Mc_Chouffe_1 for a man accused of rape and who wipes his own feces on the walls of his host God what is this world… https://t.co/M9NvcEperb"
"152","@Musonia_Rufa @arthur_affect @AliceStrudel How about not using rape to justify treating trans women like shit?"
"153","@MarciaESchmidt Oh.  I get the rape joke now.  Hahaha!  Even less offensive than I thought."
"154","@POLITICOMag @gtconway3d @jackshafer The real question is why hasn't the Mueller report changed the narrative?

The… https://t.co/TqsWdZXRYI"
"155","@Jim_R_Holden @colwight @TomasDeTorque @IonaItalia @NiceMangos @SamHarrisOrg I don’t know if you’re being overly-li… https://t.co/RVJ85pzNlI"
"156","Donald Trump and the Central Park Five: the racially charged rise of a demagogue | US news | The Guardian - A piece… https://t.co/T0NnSht6SS"
"157","Then xenohate and xenophobia addiction that is a female, Guile, and male split. Then rape addiction that is another… https://t.co/gdLYbkZmuy"
"158","@MidNightMareY @AmberBobamber @atrueexostan @radmadmid @_FilleWrites @tighe15 @LeahNTorres @GynAndTonic… https://t.co/r47aL2M9NA"
"159","@martyastridge @magnusmickel @suigenerisjen @wikileaks I am a rape survivor too, but I am not going to lie to appea… https://t.co/Di7w0eM6WZ"
"160","The Brundages rape me overshadows and molested me up and in my suffer all them fines"
"161","The ones doing the beds rape me in everoy bed I had and can't get over it and is a molestor now bothering me for no reason"
"162","@pdjeliclark It was frustrating being a historian of Sufism and expected to be skeptical about experiences of race,… https://t.co/i4HA3Td7Q7"
"163","My favorite rapper never put a creepy rape line in one of his songs though 🥴 https://t.co/ABR95e4VEH"
"164","@ArmouredSkeptic Exactly. It was mere speculation before the evidence was out there, and that was made clear that i… https://t.co/NxkoEodrLU"
"165","Roman Polanski, Admitted Child Rapist, Sues To Get Back Into The Academy - 
Disgraced film director Roman Polanski,… https://t.co/JUmf1W1Y4y"
"166","I hate to be that guy but it went both ways. Can we just stop blaming men for the rape culture and focus on sex edu… https://t.co/epjeDua2ay"
