"","x"
"121","@tikigirl328 Two weeks! Not too bad. Last elbow surgery was 8 weeks and I wanted to legit murder everyone lol!!!"
"122","@VviewSsonicMair @3L3V3NTH No one becomes leader of a country forever by being a good man Like Trump ,Putin got rid… https://t.co/nn5i0W5wuF"
"123","EXCLUSIVE: Boosie: I'm Not Going at Trump, He Can Get the CIA to Murder Me (@boosieofficial) https://t.co/mdfIcetjZp"
"124","Gods plan is really about x’s murder"
"125","“Trudeau is responsible” says Chinese protestor outside of Marrisa Shen murder trial https://t.co/aWkKTntnuh"
"126","Police in Northern Ireland blamed terrorists Saturday for the murder of journalist Lyra McKee and pleaded for the p… https://t.co/JXMpFEvi4M"
"127","Anne Kingston: There has yet to be a #MeToo equivalent for the largely private crime of family violence https://t.co/futvJPKuZr"
"128","@HillReporter I bet all the people in prison who are there for attempting to arrange a murder will be happy to hear that."
"129","Man Accused of Running Over 2 Young Boys with His Car Charged With Attempted Murder https://t.co/oOVJagR8z4 via @gatewaypundit"
"130","@_ethanclarke @Evil_Carrot @LauraJaneGrace 911 id like to report a murder"
"131","@AprilDRyan Yeah I'm thinking gutted like a deer would almost be like murder! I have never heard of someone who has… https://t.co/FU7W9oyqtY"
"132","""The Murders in the Rue Morgue"" is a short story by Edgar Allan Poe published in Graham's Magazine in April 20, 184… https://t.co/M3KqcjZ4ev"
"133","Carjacking suspect charged with first-degree murder outside of Seattle https://t.co/vScKVlEwEv  #Seattle #Seahawks… https://t.co/5DiH9ArbRC"
"134","I'm on a black dahlia murder kick today and that's a good thing
https://t.co/q5W8Qyi2zj"
"135","Because many of us did attend public school, it becomes common practice for people to assume they could teach becau… https://t.co/igqfzVtpSI"
"136","#Raleigh man charged with attempted #murder after man found #stabbed in street - Apr 20 @ 12:00 PM ET  https://t.co/jlMjqXKHMd"
"137","Lyra McKee's murder is overwhelming - an attack on peace &amp; on free speech that is all the more frightening in the c… https://t.co/30VRJJGbBe"
"138","#FilmsAboutTheBody Murder My Feet https://t.co/29AueiDyBb"
"139","INSIGHT: ODB - READ 2 SAMUEL 12:1–14
Nathan’s confrontation of David’s adultery, conspiracy to commit murder, and c… https://t.co/Mr7LrALZs0"
"140","@debilitatingly i feel like i was insinuating murder"
"141","@LarryFishburger Bro I will straight murder a bitch what’s up https://t.co/gy54hVOl1l"
"142","@CodyDeanPrice @FitFine40Life @TalbertSwan @Julie_Herrmann @GovMikeHuckabee @whca @PressSec It's murder either way… https://t.co/IkoZUon9CF"
"143","If a wife tries to hire someone to kill her spouse, but it turns out she was hiring a police officer, does she go f… https://t.co/usyPcgUQzl"
"144","@annayvettemusic Yea that would 100% define me actually. I prefer to murder birds while economising on my linthicum ammo."
"145","@GovMikeHuckabee @dbongino @whca I’d take that to me is a murder request"
"146","A #funeral, a #murder (or two), a couple of #poems and a personal #memoir - all in one #amazing #anthology. Get ""Ca… https://t.co/q2YAz03GPD"
"147","Now in #Audible! The worst day in Mac Faraday's life was a new beginning of a great #mystery series. ""Fans of… https://t.co/c23ujWAhxN"
"148","How did the shark plead in the murder case?

Not gill-ty

Enjoy your Saturday!  #lol https://t.co/a4E3eEXWKL"
"149","@ogcoffeethatpay @RoyCooperNC @RalphNortham @GavinNewsom @NYGovCuomo @realDonaldTrump @SenateGOP @SenateDems… https://t.co/9WH0TyMZxD"
"150","@iLLWiLLTHEMiCK It would not be legal under current international law to round up Jews and murder them b/c they’re… https://t.co/gPXgNNMhrY"
"151","The police believe the New IRA (also known as the Real IRA) was responsible for McKee's murder. 

While the group r… https://t.co/fUU04zmNRi"
"152","@JoshMankiewicz #clueless #guilty #notguilty idk 17 old Madison was a kid who needed his butt beat. But handcuffed?… https://t.co/uEF6a3rOqe"
"153","Florida middle school students arrested for conspiracy to commit murder, kidnapping

https://t.co/leJogJsfkQ"
"154","The latest press release for my #murdermystery #trilogy. #books #readers #murder #mystery #family #crime #romance 
https://t.co/FXD1Lqp2Wq"
"155","A St. Louis Teacher's Aide Allegedly Hired A Hitman To Murder A 10-Year-Old He Was Accused Of Molesting https://t.co/Ql4HGCS2Vx via @blavity"
"156","@andreakail @lrweltmann Shouldn't that be playing with cats, murder, then gardening because...bodies."
"157","The suspected shooter was identified https://t.co/3vNmhoBgV4 https://t.co/Rjyke4Tb2r"
"158","via @PerilofAfrica  Northern Ireland: 2 arrested over journalist Lyra McKee's murder https://t.co/0J6PN1rffP https://t.co/RXRYbPVAsV"
"159","@Edward41921530 @josieenguyen I don’t eat fish hehe. But if a animal is captive breed u can’t just go release it in… https://t.co/weJ48w66st"
"160","@ggreenwald Greenwald: “We all know a white cop shot an unarmed black woman. Therefore, the question of his motive… https://t.co/V95LwjIHui"
"161","Happy birthday to my favorite best explosive murder boy. #bnha #bakugoukatsuki https://t.co/xYNGPp8qrc"
